timestamp, accel, accelX, accelY, accelZ, gyro, gyroX, gyroY, gyroZ, magno, magnoX, magnoY, magnoZ
162532.39771, 3,  -2.139, -2.498,  9.353, 4,   1.115,  0.532, -0.900, 5,  30.956,  1.144,  7.050
162532.41716, 3,  -1.278, -2.179,  9.617, 4,   0.402,  0.693, -0.573, 5,  31.069,  1.763,  7.106
162532.43660, 3,   0.100, -2.024, 10.293, 4,  -0.462,  0.485, -0.166, 5,  31.013,  2.269,  7.013
162532.45605, 3,   1.429, -2.831, 12.216, 4,  -1.036,  0.198,  0.306, 5,  31.144,  2.850,  7.163
162532.47550, 3,   1.712, -3.323, 13.342, 4,  -1.080, -0.247,  0.561
162532.49494, 3,   1.628, -3.294, 13.359, 4,  -0.794, -0.654,  0.649, 5,  31.444,  3.525,  7.275
162532.51439, 3,   1.536, -2.136, 11.875, 4,  -0.378, -0.826,  0.584
162532.53383, 3,   1.573, -0.167, 10.426, 4,   0.148, -0.701,  0.276, 5,  31.613,  3.638,  6.975
162532.55328, 3,   1.338,  1.511,  9.521, 4,   0.257, -0.460, -0.074, 5,  31.763,  3.488,  6.656
162532.57272, 3,   1.525,  1.063,  9.483, 4,   0.078, -0.194, -0.002, 5,  31.913,  3.094,  6.431
162532.59217, 3,   0.861,  0.188,  8.555, 4,   0.303,  0.073,  0.288, 5,  32.081,  2.606,  6.131
162532.61161, 3,   0.634, -0.292,  7.638, 4,   0.580,  0.332,  0.433, 5,  32.081,  2.194,  6.038
162532.63106, 3,   0.874, -0.427,  6.675, 4,   0.693,  0.334,  0.556, 5,  32.119,  1.875,  5.794
162532.65051, 3,   1.317, -0.579,  6.542, 4,   0.602,  0.151,  0.697, 5,  32.231,  1.894,  5.475
162532.66995, 3,   1.523, -0.325,  6.631, 4,   0.324,  0.015,  0.675, 5,  31.969,  1.556,  5.231
162532.68940, 3,   1.572, -0.224,  7.292, 4,  -0.049,  0.003,  0.455, 5,  31.969,  1.444,  5.063
162532.70884, 3,   1.337, -0.154,  8.312, 4,  -0.373,  0.102,  0.183, 5,  31.969,  1.538,  5.063
162532.72829, 3,   0.838, -0.378,  9.142, 4,  -0.514,  0.175, -0.099, 5,  32.081,  1.106,  5.119
162532.74773, 3,  -0.042, -0.505,  9.951, 4,  -0.516,  0.280, -0.271, 5,  31.969,  1.013,  5.325
162532.76718, 3,  -0.727, -0.208, 10.915, 4,  -0.449,  0.311, -0.284, 5,  32.231,  1.013,  5.250
162532.78663, 3,  -0.930, -0.262, 11.313, 4,  -0.290,  0.106, -0.107, 5,  32.269,  0.788,  5.344
162532.80607, 3,  -0.365, -0.205, 10.614, 4,   0.025, -0.142,  0.141, 5,  32.119,  0.300,  5.644
162532.82552, 3,   0.043, -0.315,  9.361, 4,   0.326, -0.275,  0.367, 5,  32.288,  0.131,  5.831
162532.84496, 3,   0.170, -0.609,  8.555, 4,   0.467, -0.297,  0.474, 5,  32.419, -0.000,  6.131
162532.86441, 3,   0.193, -0.578,  8.274, 4,   0.437, -0.187,  0.464, 5,  32.250, -0.244,  6.075
162532.88385, 3,   0.200, -0.285,  8.619, 4,   0.280, -0.022,  0.306, 5,  32.288, -0.056,  6.281
162532.90330, 3,   0.316, -0.145,  8.993, 4,   0.135,  0.075,  0.309, 5,  32.419,  0.075,  6.169
162532.92275, 3,   0.500,  0.185,  9.172, 4,   0.001,  0.061,  0.420, 5,  32.269, -0.150,  6.038
162532.94219, 3,   0.933,  0.297,  9.458, 4,  -0.104,  0.042,  0.550, 5,  32.475, -0.375,  5.813
162532.96164, 3,   1.214,  0.044,  9.943, 4,  -0.134,  0.019,  0.641, 5,  32.438, -0.581,  5.625
162532.98108, 3,   1.420, -0.285, 10.188, 4,  -0.108, -0.020,  0.663, 5,  32.531, -0.881,  5.456
162533.00053, 3,   1.605, -0.551, 10.265, 4,  -0.079, -0.092,  0.614, 5,  32.494, -1.350,  5.344
162533.01997, 3,   1.642, -0.575, 10.207, 4,  -0.038, -0.158,  0.498, 5,  32.550, -1.669,  5.175
162533.03942, 3,   1.574, -0.445, 10.067, 4,   0.057, -0.165,  0.350, 5,  32.531, -2.006,  4.856
162533.05886, 3,   1.514, -0.512,  9.677, 4,   0.169, -0.128,  0.234, 5,  32.475, -2.569,  4.744
162533.07831, 3,   1.220, -0.309,  8.993, 4,   0.254, -0.121,  0.100, 5,  32.513, -2.869,  4.819
162533.09776, 3,   0.964,  0.062,  8.471, 4,   0.248, -0.168, -0.042, 5,  32.325, -3.113,  4.950
162533.11720, 3,   0.782,  0.497,  8.500, 4,   0.065, -0.252, -0.120, 5,  32.569, -3.394,  4.800
162533.13665, 3,   0.749,  0.879,  9.241, 4,  -0.235, -0.271, -0.147, 5,  32.719, -3.600,  4.763
162533.15609, 3,   0.705,  1.185,  9.922, 4,  -0.424, -0.208, -0.168, 5,  32.663, -3.450,  4.763
162533.17554, 3,   0.557,  1.336, 10.296, 4,  -0.397, -0.115, -0.191, 5,  32.775, -3.506,  4.706
162533.19498, 3,   0.258,  1.300, 10.344, 4,  -0.270, -0.022, -0.200, 5,  32.850, -3.656,  4.781
162533.21443, 3,   0.016,  1.116, 10.056, 4,  -0.144,  0.014, -0.171
162533.23388, 3,  -0.050,  0.947,  9.750, 4,  -0.067,  0.015, -0.127, 5,  32.850, -3.525,  4.594
162533.25332, 3,  -0.006,  0.854,  9.562, 4,  -0.044,  0.003, -0.079, 5,  32.888, -3.581,  4.444
162533.27277, 3,   0.038,  0.851,  9.484, 4,  -0.065,  0.005, -0.031, 5,  32.925, -3.600,  4.219
162533.29221, 3,   0.123,  0.834,  9.515, 4,  -0.117,  0.030,  0.018, 5,  33.056, -3.225,  4.125
162533.31166, 3,   0.162,  0.808,  9.698, 4,  -0.158,  0.055,  0.060, 5,  32.831, -2.906,  3.994
162533.33110, 3,   0.173,  0.846,  9.847, 4,  -0.158,  0.074,  0.084, 5,  32.700, -3.094,  3.788
162533.35055, 3,   0.249,  0.893,  9.824, 4,  -0.123,  0.080,  0.118, 5,  32.700, -2.944,  3.788
162533.37000, 3,   0.327,  0.870,  9.763, 4,  -0.098,  0.065,  0.163, 5,  32.550, -3.056,  3.713
162533.38944, 3,   0.418,  0.743,  9.738, 4,  -0.087,  0.026,  0.204, 5,  32.588, -3.150,  3.863
162533.40889, 3,   0.570,  0.593,  9.453, 4,  -0.073, -0.038,  0.231, 5,  32.644, -3.169,  3.825
162533.42833, 3,   0.695,  0.601,  9.415, 4,  -0.101, -0.040,  0.223, 5,  32.756, -3.019,  3.956
162533.44778, 3,   0.768,  0.693,  9.538, 4,  -0.159, -0.052,  0.188, 5,  32.531, -3.375,  3.938
162533.46722, 3,   0.834,  0.713,  9.703, 4,  -0.200, -0.032,  0.154, 5,  32.588, -3.506,  3.956
162533.48667, 3,   0.851,  0.707,  9.813, 4,  -0.198,  0.029,  0.119, 5,  32.606, -3.525,  3.994
162533.50612, 3,   0.779,  0.699,  9.752, 4,  -0.174,  0.082,  0.089, 5,  32.663, -3.788,  4.031
162533.52556, 3,   0.650,  0.674,  9.737, 4,  -0.156,  0.111,  0.063, 5,  32.738, -3.806,  4.106
162533.54501, 3,   0.548,  0.628,  9.698, 4,  -0.134,  0.113,  0.053, 5,  32.606, -4.106,  4.256
162533.56445, 3,   0.547,  0.565,  9.532, 4,  -0.107,  0.087,  0.069, 5,  32.438, -4.106,  4.256
162533.58390, 3,   0.589,  0.553,  9.322, 4,  -0.092,  0.055,  0.085, 5,  32.400, -4.219,  4.088
162533.60334, 3,   0.589,  0.555,  9.264, 4,  -0.114,  0.025,  0.084, 5,  32.400, -4.050,  4.313
162533.62279, 3,   0.709,  0.553,  9.350, 4,  -0.175, -0.004,  0.071, 5,  32.400, -4.106,  4.463
162533.64223, 3,   0.786,  0.671,  9.549, 4,  -0.249, -0.004,  0.051, 5,  32.381, -4.181,  4.481
162533.66168, 3,   0.729,  0.814,  9.883, 4,  -0.299,  0.006,  0.028, 5,  32.250, -4.238,  4.706
162533.68113, 3,   0.803,  0.869, 10.243, 4,  -0.304, -0.009,  0.017, 5,  32.531, -4.219,  4.613
162533.70057, 3,   0.801,  0.867, 10.274, 4,  -0.222, -0.038, -0.004, 5,  32.475, -4.069,  4.556
162533.72002, 3,   0.530,  0.907,  9.872, 4,  -0.093, -0.048, -0.060, 5,  32.494, -4.181,  4.444
